region,position,month,day,year,region.1,streams,artist,track_name,track_id,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
global,1,1,1,2017,global,3135625,The Weeknd,Starboy,5aAx2yezTd8zXrkmtKl66Z,230453,4,0.6809999999999999,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054
global,2,1,1,2017,global,3015525,The Chainsmokers,Closer,7BKLCZ1jbUBVqRi2FVlTVw,244960,4,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.6609999999999999,95.01
global,3,1,1,2017,global,2545384,DJ Snake,Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,205947,4,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864
global,4,1,1,2017,global,2356604,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,251088,4,0.72,0.763,9,-4.0680000000000005,0,0.0523,0.406,0.0,0.18,0.742,101.965
global,5,1,1,2017,global,2259887,Drake,One Dance,1xznGGDReH1oQq0xzbwXa3,173987,4,0.7909999999999999,0.619,1,-5.886,1,0.0532,0.00784,0.004229999999999999,0.35100000000000003,0.371,103.989
global,6,1,1,2017,global,2137437,Drake,Fake Love,343YBumqHu19cGoGARUTsd,210937,4,0.927,0.488,9,-9.433,0,0.42,0.108,0.0,0.196,0.605,133.987
global,7,1,1,2017,global,2111599,Bruno Mars,24K Magic,6b8Be6ljOzmkOmFslEb23P,225983,4,0.818,0.8029999999999999,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97
global,8,1,1,2017,global,2107137,Maroon 5,Don't Wanna Know,5MFzQMkrl1FOOng9tq6R9r,214480,4,0.7829999999999999,0.623,7,-6.126,1,0.08,0.338,0.0,0.0975,0.447,100.048
global,9,1,1,2017,global,2075732,Rae Sremmurd,Black Beatles,6fujklziTHa8uoM5OQSfIo,291893,4,0.794,0.632,0,-6.1629999999999985,1,0.0649,0.142,0.0,0.128,0.355,145.92600000000004
global,10,1,1,2017,global,1949575,The Weeknd,I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,269187,4,0.773,0.8190000000000001,0,-5.9460000000000015,0,0.118,0.426,0.0,0.0679,0.585,92.99
global,11,1,1,2017,global,1893214,Shakira,Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,195840,4,0.852,0.773,8,-2.9210000000000003,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034
global,12,1,1,2017,global,1857252,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,245200,4,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973
global,13,1,1,2017,global,1812335,James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,211467,4,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.04299999999998
global,14,1,1,2017,global,1801707,Migos,Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,343150,4,0.927,0.665,11,-5.313,1,0.244,0.061,0.0,0.123,0.175,127.076
global,15,1,1,2017,global,1731191,Major Lazer,Cold Water (feat. Justin Bieber & MØ),6DNtNfH8hXkqOX1sjqmI7p,185352,4,0.608,0.7979999999999999,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943
global,16,1,1,2017,global,1647944,Martin Garrix,In the Name of Love,04DwTuZ2VBdJCCC5TROn7L,195840,4,0.49,0.485,4,-6.237,0,0.0406,0.0592,0.0,0.337,0.196,133.889
global,17,1,1,2017,global,1527676,Ariana Grande,Side To Side,4pLwZjInHj3SimIyN9SnOz,226160,4,0.648,0.738,6,-5.882999999999999,0,0.247,0.0408,0.0,0.292,0.603,159.145
global,18,1,1,2017,global,1507320,Starley,Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,222041,4,0.67,0.838,0,-4.0310000000000015,1,0.0362,0.0604,0.000611,0.159,0.7170000000000001,104.998
global,19,1,1,2017,global,1480601,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,236002,4,0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,0.701,113.03
global,20,1,1,2017,global,1438471,The Chainsmokers,Don't Let Me Down,0QsvXIfqM0zZoerQfsI9lm,208053,4,0.542,0.8590000000000001,11,-5.651,1,0.197,0.16,0.00466,0.13699999999999998,0.403,159.797
global,21,1,1,2017,global,1409430,Shawn Mendes,Treat You Better,4Hf7WnR761jpxPr5D46Bcd,187973,4,0.624,0.8029999999999999,10,-4.105,0,0.246,0.123,0.0,0.114,0.821,166.018
global,22,1,1,2017,global,1375005,Steve Aoki,Just Hold On,3EmmCZoqpWOTY1g2GBwJoR,198774,4,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991
global,23,1,1,2017,global,1341827,Calvin Harris,My Way,1vvNmPOiUuyCbgWmtc6yfm,219160,4,0.8190000000000001,0.913,4,-3.059,0,0.0427,0.0935,3.72e-05,0.161,0.536,119.989
global,24,1,1,2017,global,1338596,Hailee Steinfeld,Starving,1qOLh0tI7trd1zdDKxYZTe,181880,4,0.636,0.633,4,-4.23,1,0.126,0.371,0.0,0.102,0.512,99.721
global,25,1,1,2017,global,1257334,Machine Gun Kelly,Bad Things (with Camila Cabello),1PSBzsahR2AKwLJgx8ehBj,239293,4,0.6970000000000001,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.85299999999998
global,26,1,1,2017,global,1255839,Twenty One Pilots,Heathens,6i0V12jOa3mr6uu4WYhUBr,195920,4,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.5479999999999999,90.024
global,27,1,1,2017,global,1238279,Sia,Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j,211667,4,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976
